player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
郭艾伦,13,35,是,7-8,2-7,2-3,0,7,5,3,1,3,0,0,4,0/0,22,辽宁,2018-12-09
哈德森,14,31,是,3-4,3-12,4-4,0,6,4,1,1,2,2,0,3,0/0,19,辽宁,2018-12-09
韩德君,55,30,是,2-4,0-0,3-5,1,9,1,4,0,5,0,0,3,0/0,7,辽宁,2018-12-09
李晓旭,22,21,是,2-5,1-2,0-0,3,4,1,3,0,0,1,0,0,0/0,7,辽宁,2018-12-09
高诗岩,0,17,是,0-3,0-1,0-0,2,2,2,2,3,0,0,0,2,0/0,0,辽宁,2018-12-09
巴斯,30,36,否,10-18,0-0,10-11,4,7,2,0,3,1,1,2,7,0/0,30,辽宁,2018-12-09
杨鸣,12,18,否,6-6,0-0,1-1,0,0,1,1,1,0,0,0,1,0/0,13,辽宁,2018-12-09
刘志轩,11,28,否,2-4,0-3,0-3,2,1,2,1,1,4,0,0,2,0/0,4,辽宁,2018-12-09
丛明晨,10,12,否,1-2,0-1,0-0,1,1,1,1,2,0,0,0,0,0/0,2,辽宁,2018-12-09
赵继伟,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-12-09
马壮,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-12-09
贺天举,6,4,否,0-0,0-1,0-0,0,0,0,0,1,0,0,0,0,0/0,0,辽宁,2018-12-09
郭旭,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-12-09
钟诚,9,4,否,0-0,0-1,0-0,0,0,0,2,0,2,0,0,0,0/0,0,辽宁,2018-12-09
孙锴祺,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-12-09
卫猛,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-12-09
鄢手骐,36,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-12-09
唐纳德-斯隆,1,34,是,7-9,5-9,1-1,0,4,5,3,0,6,0,0,3,0/0,30,江苏,2018-12-09
吴冠希,11,20,是,4-7,0-0,4-5,0,5,2,4,2,0,0,0,4,0/0,12,江苏,2018-12-09
李原宇,16,25,是,3-8,1-5,3-4,0,4,0,4,2,3,0,1,2,0/0,12,江苏,2018-12-09
易立,8,25,是,2-5,0-3,2-2,1,2,5,2,0,1,0,0,2,0/0,6,江苏,2018-12-09
侯逸凡,31,4,是,0-0,0-0,0-0,0,0,0,0,1,0,0,0,1,0/0,0,江苏,2018-12-09
拉杜利察,13,33,否,4-7,0-0,0-0,1,12,2,2,0,4,0,2,1,0/0,8,江苏,2018-12-09
史鸿飞,4,25,否,0-2,2-2,1-1,0,2,2,2,0,2,0,0,0,0/0,7,江苏,2018-12-09
曹飞,23,31,否,2-2,0-2,0-0,1,1,3,0,2,1,0,0,3,0/0,4,江苏,2018-12-09
赵率舟,24,19,否,0-1,1-3,0-0,1,0,1,2,2,2,0,0,0,0/0,3,江苏,2018-12-09
柳伟,15,10,否,0-2,0-1,2-2,0,0,1,0,0,0,0,0,1,0/0,2,江苏,2018-12-09
吴俣成,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-12-09
刘宇轩,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-12-09
张有为,33,3,否,0-0,0-2,0-0,0,0,0,0,0,1,0,0,0,0/0,0,江苏,2018-12-09
戎浩峰,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-12-09
孙鑫,10,6,否,0-2,0-0,0-0,0,0,0,3,0,2,0,0,0,0/0,0,江苏,2018-12-09
张稀然,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-12-09
