player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
哈德森,14,43:13,是,5-10,7-16,7-9,2,6,1,2,0,0,1,0,7,0/0,38,辽宁,2017-01-01
韩德君,55,27:34,是,8-11,0-0,3-4,2,9,1,0,1,3,0,2,2,0/0,19,辽宁,2017-01-01
郭艾伦,13,36:56,是,5-10,1-2,5-8,3,3,6,3,3,1,1,0,7,2/2,18,辽宁,2017-01-01
廉明,21,33:45,是,2-4,2-2,0-0,2,3,2,3,0,2,1,0,0,0/0,10,辽宁,2017-01-01
刘志轩,11,25:56,是,0-1,2-2,0-0,1,1,2,1,0,0,0,0,0,0/1,6,辽宁,2017-01-01
兰多夫,42,25:54,否,2-8,2-3,4-4,3,3,3,4,0,4,1,0,3,0/0,14,辽宁,2017-01-01
赵继伟,3,28:38,否,0-2,2-4,0-0,2,4,6,3,1,2,0,0,1,0/0,6,辽宁,2017-01-01
杨鸣,12,09:04,否,2-2,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,4,辽宁,2017-01-01
卫猛,23,08:20,否,0-0,0-0,0-0,1,0,1,1,0,1,0,0,0,0/0,0,辽宁,2017-01-01
高诗岩,1,00:36,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-01-01
未确认,--,--,--,0-0,0-0,0-0,2,1,0,0,0,0,0,0,0,0/0,0,辽宁,2017-01-01
杰里米-帕戈,2,35:33,是,4-9,4-7,2-4,2,0,4,2,0,1,0,0,3,0/0,22,深圳,2017-01-01
孟铎,3,33:21,是,3-7,4-6,1-2,0,0,1,2,2,1,0,0,1,2/2,19,深圳,2017-01-01
顾全,12,25:35,是,2-6,0-3,0-0,1,2,0,2,2,4,1,0,1,1/1,4,深圳,2017-01-01
李慕豪,21,22:37,是,1-3,0-0,1-2,1,2,0,2,2,1,0,1,1,0/0,3,深圳,2017-01-01
沈梓捷,11,07:50,是,1-3,0-0,0-0,0,2,0,2,0,1,0,1,0,1/1,2,深圳,2017-01-01
马齐-兰佩,30,36:27,否,8-16,0-2,1-2,7,6,5,1,1,0,2,2,5,2/3,17,深圳,2017-01-01
赵捷,24,18:49,否,1-4,3-7,0-0,0,0,1,1,0,0,0,0,0,0/0,11,深圳,2017-01-01
何忠勉,20,18:15,否,1-2,2-5,1-1,1,1,1,2,2,0,0,0,1,0/0,9,深圳,2017-01-01
张凯,7,14:48,否,3-5,0-0,0-0,4,3,1,1,0,0,1,0,0,0/0,6,深圳,2017-01-01
于德豪,8,12:26,否,2-2,0-0,2-2,1,4,1,5,1,2,0,0,5,0/1,6,深圳,2017-01-01
代怀博,22,14:19,否,1-2,0-1,0-0,1,0,0,0,1,0,0,0,0,0/0,2,深圳,2017-01-01
未确认,--,--,--,0-0,0-0,0-0,1,1,0,0,0,1,0,0,0,0/0,0,深圳,2017-01-01
