player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
哈德森,14,35,是,5-6,6-10,3-3,1,4,2,1,1,2,0,0,3,0/0,31,辽宁,2018-01-28
赵继伟,3,32,是,2-3,3-5,0-0,1,4,6,3,2,4,0,0,2,0/0,13,辽宁,2018-01-28
韩德君,55,28,是,5-7,0-0,1-1,1,4,1,2,1,1,2,0,1,0/0,11,辽宁,2018-01-28
李晓旭,22,25,是,4-9,1-2,0-1,2,2,2,2,5,1,0,1,2,0/0,11,辽宁,2018-01-28
刘志轩,11,16,是,0-0,1-1,0-0,0,0,2,3,1,0,0,0,0,0/0,3,辽宁,2018-01-28
郭艾伦,13,31,否,4-12,5-8,2-2,0,5,9,2,1,3,0,0,4,0/0,25,辽宁,2018-01-28
巴斯,30,29,否,7-12,0-1,3-3,3,11,1,1,0,0,2,4,2,0/0,17,辽宁,2018-01-28
贺天举,6,7,否,1-2,1-1,0-0,0,1,0,0,0,0,0,0,0,0/0,5,辽宁,2018-01-28
丛明晨,10,18,否,0-0,1-2,0-0,1,0,2,4,1,1,0,0,0,0/0,3,辽宁,2018-01-28
卫猛,23,9,否,1-2,0-0,0-0,0,0,0,3,0,1,0,1,0,0/0,2,辽宁,2018-01-28
张宗睿,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-01-28
刘大为,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-01-28
孙锴祺,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-01-28
郭旭,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-01-28
赵率舟,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-01-28
钟诚,9,4,否,0-1,0-1,0-0,0,0,0,1,0,0,0,0,0,0/0,0,辽宁,2018-01-28
杨鸣,12,2,否,0-0,0-0,0-0,0,0,1,0,0,0,0,0,0,0/0,0,辽宁,2018-01-28
王哲林,31,36,是,12-16,0-0,3-4,5,7,2,2,1,5,0,1,6,0/0,27,福建,2018-01-28
赵泰隆,73,40,是,5-8,5-11,2-4,1,1,5,2,1,3,0,0,4,0/0,27,福建,2018-01-28
哈里斯,33,41,是,3-5,4-9,1-2,3,9,4,1,0,0,1,0,3,0/0,19,福建,2018-01-28
陈林坚,15,34,是,4-8,1-6,2-2,0,1,1,3,2,3,0,0,1,0/0,13,福建,2018-01-28
李江淮,5,33,是,1-4,0-3,1-2,3,3,3,2,2,1,1,0,3,0/0,3,福建,2018-01-28
田桂森,0,17,否,1-2,2-2,3-4,0,2,6,3,1,2,0,0,2,0/0,11,福建,2018-01-28
黄毅超,14,16,否,0-1,2-3,0-0,0,1,0,1,1,0,0,0,1,0/0,6,福建,2018-01-28
何重达,11,3,否,0-0,0-0,2-2,0,1,0,0,0,0,0,0,1,0/0,2,福建,2018-01-28
王润锋,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-01-28
杨凯,9,3,否,0-1,0-0,0-0,1,0,0,0,0,0,0,0,0,0/0,0,福建,2018-01-28
谢亚财,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-01-28
孙椿棚,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-01-28
王增杰,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-01-28
郭磊,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-01-28
周启新,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-01-28
蔡晨,7,2,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-01-28
孙喆,17,9,否,0-1,0-0,0-0,1,0,0,0,0,1,1,0,1,0/0,0,福建,2018-01-28
史密斯,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-01-28
