player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
郭艾伦,13,33,是,7-14,3-7,7-9,1,4,4,2,0,0,0,0,7,0/0,30,辽宁,2017-11-14
哈德森,14,33,是,5-6,6-10,2-4,1,3,4,3,2,1,1,0,3,0/0,30,辽宁,2017-11-14
韩德君,55,22,是,8-11,0-0,0-0,4,3,1,4,0,0,0,1,1,0/0,16,辽宁,2017-11-14
刘志轩,11,26,是,1-2,2-7,0-0,0,1,2,0,1,0,0,0,0,0/0,8,辽宁,2017-11-14
李晓旭,22,20,是,2-7,0-0,0-0,3,4,0,3,1,0,0,0,0,0/0,4,辽宁,2017-11-14
巴斯,30,38,否,5-11,0-2,4-4,1,6,1,4,0,3,2,1,4,0/0,14,辽宁,2017-11-14
丛明晨,10,32,否,0-1,1-6,1-2,5,4,1,5,0,1,0,0,1,0/0,4,辽宁,2017-11-14
赵率舟,17,3,否,1-1,0-1,0-0,0,0,0,0,0,0,0,0,0,0/0,2,辽宁,2017-11-14
杨鸣,12,14,否,1-2,0-0,0-0,2,0,2,2,2,0,0,0,0,0/0,2,辽宁,2017-11-14
张宗睿,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-11-14
孙锴祺,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-11-14
卫猛,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-11-14
刘大为,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-11-14
钟诚,9,14,否,0-0,0-2,0-0,1,1,2,2,1,1,0,0,1,0/0,0,辽宁,2017-11-14
郭旭,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-11-14
赵继伟,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-11-14
吉布森,22,38,是,4-8,5-7,10-13,0,6,3,4,1,4,0,0,9,0/0,33,青岛,2017-11-14
宗赞,13,39,是,3-7,0-2,1-2,5,6,0,3,1,2,1,0,3,0/0,7,青岛,2017-11-14
张骋宇,6,24,是,0-4,1-2,2-4,1,0,2,1,0,1,0,0,2,0/0,5,青岛,2017-11-14
赵捷,24,8,是,1-3,1-1,0-0,0,0,0,0,0,0,0,0,0,0/0,5,青岛,2017-11-14
王庆明,32,14,是,1-1,0-2,2-2,0,0,0,0,1,2,1,0,2,0/0,4,青岛,2017-11-14
刘书楠,7,38,否,7-8,1-2,3-4,1,1,1,1,1,2,0,0,2,0/0,20,青岛,2017-11-14
许家晗,3,22,否,2-3,0-1,4-4,0,0,1,3,1,0,0,0,3,0/0,8,青岛,2017-11-14
泰伦斯-琼斯,1,33,否,3-7,0-0,2-6,1,14,6,3,0,3,2,0,3,0/0,8,青岛,2017-11-14
孙杰,17,11,否,1-3,0-3,0-0,0,0,0,2,0,0,0,0,0,0/0,2,青岛,2017-11-14
刁成灏,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-11-14
刘鸿博,91,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-11-14
张涵钧,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-11-14
田嘉夫,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-11-14
苏伟,9,1,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-11-14
高尚,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-11-14
丁皓然,33,7,否,0-0,0-1,0-0,0,1,0,0,0,0,0,0,1,0/0,0,青岛,2017-11-14
张昊,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-11-14
单梓桐,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-11-14
