player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
吉布森,22,42,是,7-10,4-11,4-6,1,5,3,1,1,0,0,0,6,0/0,30,青岛,2017-12-09
张骋宇,6,36,是,5-7,0-3,2-2,1,3,1,2,2,4,0,0,1,0/0,12,青岛,2017-12-09
苏伟,9,16,是,4-5,0-0,3-4,2,5,0,4,0,2,1,0,2,0/0,11,青岛,2017-12-09
高尚,0,21,是,2-5,1-1,0-0,1,3,0,2,0,1,0,0,0,0/0,7,青岛,2017-12-09
王庆明,32,16,是,0-1,0-0,0-0,1,2,1,1,0,1,1,0,0,0/0,0,青岛,2017-12-09
田嘉夫,14,24,否,4-7,1-1,2-3,3,4,0,1,1,1,1,0,3,0/0,13,青岛,2017-12-09
刘书楠,7,26,否,5-6,0-1,1-1,2,3,2,1,1,2,1,0,1,0/0,11,青岛,2017-12-09
宗赞,13,26,否,2-4,0-0,7-8,1,3,4,2,0,0,1,0,7,0/0,11,青岛,2017-12-09
丁皓然,33,12,否,2-5,1-1,0-0,2,2,0,0,0,1,0,0,0,0/0,7,青岛,2017-12-09
许家晗,3,4,否,1-1,1-1,0-0,0,0,0,0,1,0,0,0,0,0/0,5,青岛,2017-12-09
孙杰,17,9,否,0-2,0-1,0-0,0,1,1,2,0,0,0,0,0,0/0,0,青岛,2017-12-09
张涵钧,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-09
刘鸿博,91,4,否,0-1,0-0,0-0,0,2,1,1,0,0,0,0,0,0/0,0,青岛,2017-12-09
张昊,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-09
刁成灏,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-09
赵捷,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-09
马齐-兰佩,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-09
单梓桐,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-12-09
付豪,1,33,是,6-15,0-0,3-7,2,6,1,1,1,2,1,0,5,0/0,15,八一,2017-12-09
雷蒙,11,43,是,4-7,1-6,4-4,4,2,5,0,1,3,0,0,2,0/0,15,八一,2017-12-09
德勒黑,22,18,是,5-7,0-0,0-2,2,1,0,4,0,1,1,0,2,0/0,10,八一,2017-12-09
田宇翔,7,21,是,2-4,1-4,0-0,1,0,3,2,3,0,1,0,1,0/0,7,八一,2017-12-09
张祖铭,20,42,是,1-3,1-6,0-0,5,4,0,6,1,2,0,1,1,0/0,5,八一,2017-12-09
李天戈,6,24,否,2-4,3-4,0-0,1,4,2,1,1,1,0,0,1,0/0,13,八一,2017-12-09
阿尔斯兰,5,26,否,4-7,0-2,2-2,0,1,1,1,2,0,0,0,3,0/0,10,八一,2017-12-09
宁鸿宇,16,14,否,2-8,0-0,0-0,1,1,0,4,0,1,1,0,2,0/0,4,八一,2017-12-09
罗凯文,13,12,否,2-5,0-2,0-0,0,3,0,1,0,1,0,0,0,0/0,4,八一,2017-12-09
缪光旸,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-12-09
余晨,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-12-09
刘航初,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-12-09
曹岩,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-12-09
许钟豪,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-12-09
王俊霖,17,4,否,0-0,0-0,0-0,0,0,0,0,0,0,1,0,0,0/0,0,八一,2017-12-09
邹雨宸,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-12-09
