player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
约翰逊,41,31,是,9-15,0-2,5-8,6,5,1,2,1,1,0,1,9,0/0,23,青岛,2018-11-21
张骋宇,6,43,是,3-6,0-6,4-6,1,3,2,1,0,1,0,0,3,0/0,10,青岛,2018-11-21
焦海龙,10,28,是,1-3,1-3,1-2,1,8,0,1,1,2,0,0,1,0/0,6,青岛,2018-11-21
杨凯,27,13,是,0-1,0-1,0-0,0,1,0,3,1,1,0,0,0,0/0,0,青岛,2018-11-21
周湛东,8,7,是,0-0,0-1,0-0,0,0,1,0,0,0,0,0,0,0/0,0,青岛,2018-11-21
吉布森,22,33,否,7-12,2-8,15-17,2,4,1,2,0,1,0,0,9,0/0,35,青岛,2018-11-21
许家晗,3,24,否,3-4,0-1,3-5,0,1,0,6,1,0,0,0,4,0/0,9,青岛,2018-11-21
王庆明,32,33,否,1-3,1-5,0-0,2,10,1,3,1,1,0,0,1,0/0,5,青岛,2018-11-21
翟逸,33,21,否,2-2,0-2,0-0,1,2,2,0,2,1,0,1,1,0/0,4,青岛,2018-11-21
寸守伟,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-21
张涵钧,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-21
杨金蒙,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-21
王思奇,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-21
刘书楠,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-21
丁皓然,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-21
宗赞,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-21
高尚,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-21
刘传兴,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-21
史文龙,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-21
邵英伦,11,2,否,0-1,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,青岛,2018-11-21
翟晓川,20,38,是,7-8,3-5,1-2,0,5,1,1,0,0,0,0,2,0/0,24,北京,2018-11-21
张才仁,16,39,是,4-7,1-2,4-4,0,2,3,2,1,1,0,0,4,0/0,15,北京,2018-11-21
汉密尔顿,41,34,是,5-11,1-2,0-0,1,4,8,3,0,2,0,0,0,0/0,13,北京,2018-11-21
刘晓宇,10,25,是,2-3,1-3,0-1,0,4,1,3,0,0,0,0,1,0/0,7,北京,2018-11-21
张卓,22,5,是,0-0,0-1,0-0,0,3,0,1,0,0,0,0,0,0/0,0,北京,2018-11-21
艾伦-杰克逊,7,33,否,7-9,2-4,7-8,1,3,6,5,3,4,0,0,7,0/0,27,北京,2018-11-21
朱彦西,13,36,否,2-4,4-11,0-0,0,8,3,4,0,0,0,0,0,0/0,16,北京,2018-11-21
丘天,19,8,否,2-4,0-0,0-2,1,1,0,4,1,1,1,1,2,0/0,4,北京,2018-11-21
常林,23,5,否,0-1,0-0,1-2,0,0,0,3,0,0,0,0,2,0/0,1,北京,2018-11-21
王旭,4,1,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,北京,2018-11-21
王鑫磊,31,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-21
方硕,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-21
赵晏满,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-21
赵梓壹,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-21
段鸿瑞,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-21
王骁辉,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-21
段江鹏,11,10,否,0-0,0-2,0-0,1,0,1,2,0,0,0,0,1,0/0,0,北京,2018-11-21
张松涛,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-21
陈赞宇,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-21
