player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
琼斯,55,43:14,是,11-21,0-2,19-23,4,10,4,1,2,2,1,1,16,1/1,41,青岛,2017-02-02
张骋宇,6,37:37,是,7-15,0-3,0-0,0,0,3,4,1,1,0,0,0,3/3,14,青岛,2017-02-02
苏伟,9,38:47,是,5-11,0-0,0-2,5,8,1,6,1,4,0,0,2,0/0,10,青岛,2017-02-02
刁成灏,27,22:11,是,2-3,2-6,0-0,0,0,0,5,1,0,0,0,0,0/0,10,青岛,2017-02-02
王庆明,32,07:24,是,0-0,0-0,0-0,0,2,0,1,0,2,1,0,1,0/0,0,青岛,2017-02-02
卢卡斯,1,28:46,否,2-3,0-3,9-10,1,8,3,1,4,5,0,0,8,2/2,13,青岛,2017-02-02
孙杰,17,35:24,否,1-2,1-3,0-0,0,2,1,4,1,2,0,0,2,0/0,5,青岛,2017-02-02
张涵钧,2,03:14,否,1-1,0-0,1-2,0,0,0,0,0,1,0,0,1,0/0,3,青岛,2017-02-02
宗赞,13,00:10,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-02-02
田嘉夫,14,20:53,否,0-1,0-0,0-0,0,2,0,2,0,0,0,0,0,0/0,0,青岛,2017-02-02
丁皓然,35,02:20,否,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,0,青岛,2017-02-02
麦克鲁姆,4,40:09,是,8-24,3-10,6-9,11,2,3,4,1,5,2,2,9,3/3,31,北控,2017-02-02
杨敬敏,6,43:13,是,1-8,3-5,3-4,1,6,3,3,3,0,0,0,4,0/2,14,北控,2017-02-02
王振宇,27,19:38,是,1-1,2-3,0-0,0,2,0,5,0,0,1,0,0,0/0,8,北控,2017-02-02
滕贺麒,8,17:22,是,0-1,0-1,1-2,0,0,1,4,2,1,0,0,3,0/0,1,北控,2017-02-02
宋康明,21,16:09,是,0-5,0-0,0-0,1,3,0,3,0,0,0,0,0,0/0,0,北控,2017-02-02
巴蒂斯塔,15,31:51,否,10-15,0-0,3-5,6,5,4,2,1,5,0,1,5,0/0,23,北控,2017-02-02
于梁,11,28:22,否,3-9,1-3,2-2,2,5,1,3,3,1,0,0,1,0/0,11,北控,2017-02-02
贺希宁,3,20:02,否,3-5,0-1,0-0,1,0,2,4,1,1,0,0,0,2/2,6,北控,2017-02-02
贾俊龙,2,04:47,否,0-0,0-0,0-0,0,1,0,2,1,2,0,0,0,0/0,0,北控,2017-02-02
刘大鹏,20,18:27,否,0-2,0-3,0-0,0,0,0,2,1,0,0,0,0,0/0,0,北控,2017-02-02
孙伟博,10,00:00,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-02-02
