player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
张骋宇,6,40:50,是,9-13,2-3,0-0,0,4,4,0,1,0,0,0,0,0/1,24,青岛,2017-01-04
琼斯,55,41:14,是,6-14,1-3,6-7,0,3,13,4,1,3,0,0,7,0/0,21,青岛,2017-01-04
刁成灏,27,32:33,是,0-0,3-8,4-4,2,3,1,5,0,0,0,0,2,0/0,13,青岛,2017-01-04
苏伟,9,41:18,是,5-10,0-0,2-6,3,9,3,5,1,1,3,0,5,0/0,12,青岛,2017-01-04
田嘉夫,14,06:09,是,0-0,1-2,0-0,0,1,0,0,0,1,0,0,0,0/0,3,青岛,2017-01-04
卢卡斯,1,30:46,否,8-14,2-2,4-5,0,3,4,5,4,1,0,0,6,1/1,26,青岛,2017-01-04
丁皓然,35,12:06,否,1-1,2-2,0-0,0,1,0,0,1,1,0,0,0,0/0,8,青岛,2017-01-04
王庆明,32,12:26,否,4-5,0-0,0-0,0,3,0,2,0,0,0,0,0,0/0,8,青岛,2017-01-04
宗赞,13,05:21,否,1-2,0-1,0-0,1,0,0,5,0,1,0,0,1,0/0,2,青岛,2017-01-04
孙杰,17,17:17,否,0-0,0-2,0-0,1,1,0,0,0,0,0,0,0,0/0,0,青岛,2017-01-04
康宁汉姆,6,38:29,是,5-10,2-6,5-6,0,4,4,2,1,2,0,3,5,1/2,21,同曦,2017-01-04
唐正东,9,34:01,是,6-15,0-0,1-2,4,5,2,2,0,1,0,0,3,0/0,13,同曦,2017-01-04
冯欣,66,43:13,是,3-6,1-3,0-0,0,1,7,1,2,5,0,0,3,1/2,9,同曦,2017-01-04
宋建骅,8,36:57,是,2-2,1-4,1-2,1,3,0,3,0,0,0,0,1,0/0,8,同曦,2017-01-04
郭一飞,10,07:29,是,1-3,0-0,1-2,0,1,0,3,0,0,0,0,1,0/0,3,同曦,2017-01-04
迪奥古,50,33:31,否,6-13,1-1,9-9,2,9,1,2,0,5,1,1,7,0/0,24,同曦,2017-01-04
阿巴斯,15,25:43,否,7-10,2-4,4-5,2,4,1,6,1,0,0,0,5,1/1,24,同曦,2017-01-04
范成林,35,15:50,否,1-1,0-0,0-0,0,0,1,1,0,0,0,0,0,0/0,2,同曦,2017-01-04
张财宝,22,04:47,否,1-1,0-0,0-0,0,0,0,2,0,2,0,0,0,0/0,2,同曦,2017-01-04
买尔丹,33,00:00,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-01-04
