player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
吉布森,22,42,是,11-17,2-12,10-13,1,6,7,2,1,4,0,0,11,0/0,38,青岛,2017-11-01
高尚,0,40,是,3-8,4-5,1-2,2,4,2,2,1,1,0,0,2,0/0,19,青岛,2017-11-01
王庆明,32,27,是,5-7,0-0,0-0,2,3,1,0,1,0,0,0,1,0/0,10,青岛,2017-11-01
苏伟,9,25,是,2-5,0-0,4-6,1,8,0,4,2,0,3,0,4,0/0,8,青岛,2017-11-01
孙杰,17,20,是,1-1,1-2,0-0,0,1,0,1,0,1,0,0,1,0/0,5,青岛,2017-11-01
泰伦斯-琼斯,1,25,否,9-16,1-5,1-5,3,4,1,2,0,5,0,2,5,0/0,22,青岛,2017-11-01
张骋宇,6,16,否,3-4,1-4,2-2,0,1,2,0,1,1,0,0,1,0/0,11,青岛,2017-11-01
赵捷,24,15,否,0-1,1-1,0-0,0,0,0,2,1,2,0,0,0,0/0,3,青岛,2017-11-01
刘书楠,7,9,否,1-2,0-0,1-2,4,2,0,0,0,0,0,0,1,0/0,3,青岛,2017-11-01
许家晗,3,16,否,1-1,0-0,0-0,0,0,3,5,1,0,0,0,0,0/0,2,青岛,2017-11-01
刁成灏,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-11-01
刘鸿博,91,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-11-01
张涵钧,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-11-01
张昊,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-11-01
宗赞,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-11-01
丁皓然,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-11-01
田嘉夫,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-11-01
单梓桐,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-11-01
路易斯-斯科拉,4,37,是,13-21,5-7,4-4,3,12,7,4,1,2,0,0,4,0/0,45,山西,2017-11-01
曾令旭,6,41,是,7-8,1-7,2-2,1,6,13,3,3,0,0,0,2,0/0,19,山西,2017-11-01
刘冠岑,17,42,是,2-3,3-3,3-4,7,1,1,4,2,2,1,1,4,0/0,16,山西,2017-11-01
邢志强,12,41,是,5-8,2-7,0-2,2,8,3,5,0,3,1,1,2,0/0,16,山西,2017-11-01
李敬宇,11,18,是,1-2,2-4,0-0,0,0,1,2,0,0,0,0,0,0/0,8,山西,2017-11-01
詹宁斯,3,34,否,7-14,3-12,2-3,2,5,11,2,5,1,0,0,3,0/0,25,山西,2017-11-01
张学文,33,10,否,2-2,0-2,2-2,2,0,0,3,0,0,0,0,2,0/0,6,山西,2017-11-01
闫鹏飞,9,8,否,2-4,0-0,1-2,1,2,0,2,0,1,0,0,1,0/0,5,山西,2017-11-01
班铎,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-11-01
王洪,13,3,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,山西,2017-11-01
王重阳,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-11-01
李旭,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-11-01
王磊,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-11-01
原帅,7,1,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-11-01
张泽龙,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-11-01
侯兴宇,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-11-01
沙威剑,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山西,2017-11-01
