player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
贝尼蒙-卡尔顿,20,36:27,是,12-17,0-1,4-4,4,10,5,2,4,1,1,0,3,2/2,28,青岛,2016-11-20
张骋宇,6,34:41,是,8-13,1-5,4-4,0,3,1,3,2,1,0,0,4,2/2,23,青岛,2016-11-20
孟令源,5,30:21,是,1-6,2-3,0-0,0,0,3,3,0,2,0,0,1,0/0,8,青岛,2016-11-20
王庆明,32,17:41,是,4-5,0-0,0-0,0,1,0,1,0,0,1,0,0,0/0,8,青岛,2016-11-20
刘书楠,7,30:12,是,0-2,2-4,0-0,1,0,3,4,1,0,0,0,2,0/0,6,青岛,2016-11-20
宗赞,13,28:19,否,1-2,2-4,1-1,1,4,0,4,0,1,0,0,2,0/0,9,青岛,2016-11-20
琼斯,55,35:33,否,2-8,0-7,1-3,2,6,6,2,2,4,0,0,7,0/0,5,青岛,2016-11-20
丁皓然,35,13:13,否,0-1,0-0,2-4,1,0,0,0,1,0,0,0,2,0/0,2,青岛,2016-11-20
苏伟,9,04:48,否,0-0,0-0,1-2,0,0,0,0,0,0,0,0,1,0/0,1,青岛,2016-11-20
田嘉夫,14,08:45,否,0-1,0-2,0-0,0,2,0,1,0,0,0,0,0,0/0,0,青岛,2016-11-20
未确认,--,--,--,0-0,0-0,0-0,1,0,0,0,0,5,0,0,0,0/0,0,青岛,2016-11-20
易建联,9,43:52,是,6-10,4-6,8-13,3,11,0,1,3,2,0,2,8,1/1,32,广东,2016-11-20
唐纳德-斯隆,23,44:35,是,12-17,2-4,0-0,0,5,8,2,1,3,0,0,1,2/2,30,广东,2016-11-20
任骏飞,20,35:25,是,6-9,1-1,1-1,1,4,1,3,0,3,0,0,2,2/2,16,广东,2016-11-20
周鹏,11,40:00,是,1-5,0-2,0-1,1,2,0,1,1,2,0,0,1,0/0,2,广东,2016-11-20
赵睿,0,25:16,是,1-5,0-0,0-0,2,1,2,5,0,3,0,0,1,0/0,2,广东,2016-11-20
布泽尔,5,24:43,否,4-10,0-0,6-8,0,10,0,3,1,4,0,0,6,0/0,14,广东,2016-11-20
周湛东,13,16:11,否,0-0,0-0,2-2,0,0,1,3,0,0,0,0,1,0/0,2,广东,2016-11-20
杨金蒙,17,09:58,否,0-1,0-0,0-0,1,1,0,4,1,2,0,0,0,0/0,0,广东,2016-11-20
未确认,--,--,--,0-0,0-0,0-0,1,2,0,0,0,0,0,0,0,0/0,0,广东,2016-11-20
