player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
马齐-兰佩,30,38,是,7-15,3-6,1-4,6,13,4,4,1,3,3,2,2,0/0,24,青岛,2017-11-30
高尚,0,29,是,4-5,2-3,2-2,2,1,0,3,0,2,0,0,3,0/0,16,青岛,2017-11-30
刘书楠,7,26,是,6-6,0-1,2-3,1,3,3,5,3,0,0,0,6,0/0,14,青岛,2017-11-30
苏伟,9,19,是,5-6,0-0,1-2,1,2,0,4,2,0,0,0,1,0/0,11,青岛,2017-11-30
张骋宇,6,29,是,2-6,0-4,2-2,0,3,5,3,2,0,0,0,1,0/0,6,青岛,2017-11-30
吉布森,22,28,否,5-8,4-9,7-9,1,2,4,2,2,0,0,0,7,0/0,29,青岛,2017-11-30
宗赞,13,19,否,2-3,0-0,4-4,1,2,0,6,1,0,0,0,5,0/0,8,青岛,2017-11-30
刘鸿博,91,6,否,0-1,1-1,3-4,0,0,0,1,0,1,0,0,3,0/0,6,青岛,2017-11-30
许家晗,3,9,否,1-2,1-1,0-0,1,0,0,1,0,0,0,0,1,0/0,5,青岛,2017-11-30
田嘉夫,14,14,否,2-2,0-2,0-0,0,0,0,1,0,2,0,0,1,0/0,4,青岛,2017-11-30
孙杰,17,13,否,1-1,0-2,0-0,1,0,1,1,0,2,0,0,0,0/0,2,青岛,2017-11-30
单梓桐,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-11-30
丁皓然,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-11-30
张昊,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-11-30
王庆明,32,3,否,0-0,0-0,0-0,0,1,1,1,0,0,0,0,0,0/0,0,青岛,2017-11-30
赵捷,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-11-30
刁成灏,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-11-30
张涵钧,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-11-30
罗旭东,9,37,是,5-11,0-2,7-11,2,4,3,4,0,2,0,0,8,0/0,17,广州,2017-11-30
汉斯布鲁,11,29,是,5-11,0-1,3-4,5,4,2,2,1,1,0,0,7,0/0,13,广州,2017-11-30
桑尼,1,29,是,3-10,1-3,1-1,1,7,1,0,3,3,0,0,3,0/0,10,广州,2017-11-30
谷玥灼,7,27,是,0-2,2-4,0-0,0,1,2,1,0,0,0,0,0,0/0,6,广州,2017-11-30
鞠明欣,8,10,是,1-2,0-0,0-0,0,0,0,1,0,1,0,0,0,0/0,2,广州,2017-11-30
范子铭,13,16,否,5-7,0-0,4-4,2,3,1,1,0,1,0,0,4,0/0,14,广州,2017-11-30
张帆,23,26,否,1-4,2-5,4-6,2,3,2,4,1,0,0,0,4,0/0,12,广州,2017-11-30
朱旭航,10,17,否,4-7,0-0,4-6,3,1,0,5,1,3,1,0,4,0/0,12,广州,2017-11-30
衡艺丰,21,22,否,1-4,1-2,1-2,0,1,2,5,1,1,0,0,1,0/0,6,广州,2017-11-30
郑准,50,5,否,1-1,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,2,广州,2017-11-30
陈盈骏,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-30
弗格,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-30
史俊,3,5,否,0-0,0-1,0-0,0,0,0,1,0,0,0,0,0,0/0,0,广州,2017-11-30
胡珑贸,15,10,否,0-1,0-1,0-0,0,1,0,6,1,2,0,0,1,0/0,0,广州,2017-11-30
张晓磊,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-30
刘子豪,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-30
郭凯,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-30
王玥,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-30
骆永轩,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-11-30
