player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
琼斯,55,44:36,否,11-20,2-3,5-7,0,9,7,5,2,3,1,0,9,3/4,33,青岛,2017-01-11
卢卡斯,1,32:24,否,11-18,0-2,3-5,2,6,1,3,1,2,1,0,5,0/0,25,青岛,2017-01-11
孙杰,17,47:37,否,3-4,3-7,2-2,2,2,4,1,5,2,0,0,3,0/0,17,青岛,2017-01-11
田嘉夫,14,23:22,否,1-1,3-4,0-0,0,0,1,1,1,1,1,0,0,0/0,11,青岛,2017-01-11
苏伟,9,27:24,否,1-2,0-0,3-4,1,3,0,6,2,3,2,1,7,0/0,5,青岛,2017-01-11
丁皓然,35,18:44,否,1-1,1-3,0-0,0,0,1,2,1,0,0,1,0,1/1,5,青岛,2017-01-11
刁成灏,27,16:46,否,1-2,0-3,2-2,0,1,1,2,0,3,0,0,1,0/0,4,青岛,2017-01-11
王庆明,32,06:22,否,1-4,0-0,1-1,1,0,0,3,0,0,0,0,2,0/0,3,青岛,2017-01-11
宗赞,13,06:42,否,0-3,0-0,2-2,1,0,0,2,3,0,0,0,3,0/1,2,青岛,2017-01-11
张骋宇,6,41:51,否,1-8,0-4,0-2,1,6,10,3,2,3,0,0,1,0/0,2,青岛,2017-01-11
刘书楠,7,07:14,否,0-1,0-0,0-0,1,0,0,1,0,0,0,0,0,0/0,0,青岛,2017-01-11
布鲁克斯,2,47:09,否,11-22,1-8,6-10,1,7,7,2,1,4,1,1,9,3/3,31,江苏,2017-01-11
易立,8,44:14,否,5-7,2-7,8-10,1,9,5,5,3,3,2,2,7,1/1,24,江苏,2017-01-11
麦克唐纳,26,27:26,否,5-10,0-0,7-8,1,3,0,5,0,5,0,0,7,1/1,17,江苏,2017-01-11
柳伟,15,32:58,否,6-7,0-0,3-3,0,3,0,5,0,4,1,0,3,0/0,15,江苏,2017-01-11
陈磊,22,27:21,否,2-2,1-4,0-0,0,1,0,2,2,1,0,0,1,2/2,7,江苏,2017-01-11
胡雪峰,55,32:23,否,1-3,1-4,0-0,2,2,2,3,2,4,0,0,2,1/1,5,江苏,2017-01-11
刘亚晖,9,05:24,否,1-2,0-1,0-0,0,0,2,1,0,0,0,0,0,1/1,2,江苏,2017-01-11
李原宇,16,22:54,否,1-3,0-0,0-0,1,4,0,4,0,2,1,0,0,0/0,2,江苏,2017-01-11
曹飞,23,13:11,否,1-1,0-0,0-0,1,1,1,2,1,2,0,0,0,0/0,2,江苏,2017-01-11
常亚松,5,08:02,否,0-0,0-0,0-0,0,1,0,2,0,0,0,0,0,0/0,0,江苏,2017-01-11
侯逸凡,31,03:58,否,0-0,0-0,0-0,1,0,0,0,0,1,0,0,0,0/0,0,江苏,2017-01-11
