player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
约翰逊,41,37,是,13-19,0-0,3-8,8,8,6,6,1,2,3,1,6,0/0,29,青岛,2018-11-09
焦海龙,10,31,是,1-4,3-6,0-0,0,4,0,5,0,1,1,0,0,0/0,11,青岛,2018-11-09
许家晗,3,22,是,1-2,2-4,0-2,0,1,3,3,2,2,0,0,2,0/0,8,青岛,2018-11-09
张骋宇,6,26,是,2-9,0-3,0-0,0,5,1,0,1,0,0,0,1,0/0,4,青岛,2018-11-09
杨凯,27,19,是,0-0,0-2,0-0,1,1,1,1,0,1,0,0,1,0/0,0,青岛,2018-11-09
吉布森,22,39,否,10-22,2-6,19-22,2,10,4,2,1,1,0,0,15,0/0,45,青岛,2018-11-09
周湛东,8,46,否,3-3,1-4,4-4,0,4,1,5,2,2,0,0,2,0/0,13,青岛,2018-11-09
王庆明,32,30,否,5-7,0-1,2-2,0,8,1,6,0,2,0,1,3,0/0,12,青岛,2018-11-09
寸守伟,18,2,否,0-0,0-0,0-0,1,0,1,2,0,0,0,0,0,0/0,0,青岛,2018-11-09
张涵钧,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-09
杨金蒙,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-09
王思奇,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-09
刘书楠,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-09
丁皓然,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-09
翟逸,33,8,否,0-0,0-0,0-0,0,0,0,4,0,0,0,0,1,0/0,0,青岛,2018-11-09
宗赞,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-09
高尚,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-09
刘传兴,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-09
史文龙,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-09
邵英伦,11,1,否,0-1,0-0,0-0,1,1,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-09
邓蒙,12,47,是,4-14,9-18,16-16,3,10,8,3,3,5,0,0,13,0/0,51,浙江,2018-11-09
吴前,33,49,是,3-7,3-8,1-2,1,2,7,3,0,1,0,0,1,0/0,16,浙江,2018-11-09
张大宇,24,21,是,3-10,0-1,2-3,1,4,0,3,0,0,2,1,3,0/0,8,浙江,2018-11-09
朱旭航,21,35,是,2-5,0-1,1-2,1,7,0,5,0,2,2,0,2,0/0,5,浙江,2018-11-09
程帅澎,6,21,是,1-1,1-4,0-2,0,1,0,3,1,1,0,0,1,0/0,5,浙江,2018-11-09
汉斯布鲁,50,29,否,7-11,0-1,7-9,3,1,0,4,3,1,0,0,10,0/0,21,浙江,2018-11-09
赖俊豪,17,14,否,0-0,0-0,4-4,1,8,0,4,0,2,2,0,2,0/0,4,浙江,2018-11-09
林孝天,5,7,否,0-0,1-4,0-0,0,0,1,1,0,1,0,0,0,0/0,3,浙江,2018-11-09
江凯,93,9,否,1-1,0-1,0-0,0,1,0,2,0,0,0,0,0,0/0,2,浙江,2018-11-09
王奕博,7,19,否,1-1,0-1,0-0,0,1,0,2,0,0,0,0,0,0/0,2,浙江,2018-11-09
刘泽一,10,5,否,0-0,0-0,1-2,0,0,0,1,1,0,0,0,1,0/0,1,浙江,2018-11-09
付磊,3,3,否,0-0,0-1,0-0,1,0,0,0,0,1,0,0,0,0/0,0,浙江,2018-11-09
李耀强,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-09
王仔路,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-09
张正昕,28,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-09
李宗翰,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-09
陆文博,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-09
孙岩松,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-09
