player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
琼斯,55,41:31,是,10-13,1-6,5-5,3,3,13,1,1,4,0,0,10,1/1,28,青岛,2017-01-24
张骋宇,6,44:50,是,7-9,2-6,0-0,0,1,2,3,2,3,0,0,2,0/0,20,青岛,2017-01-24
苏伟,9,27:40,是,4-5,0-0,2-4,1,2,0,2,1,1,1,1,2,0/0,10,青岛,2017-01-24
张涵钧,2,21:05,是,2-3,1-1,2-4,2,1,0,4,2,1,0,0,3,1/1,9,青岛,2017-01-24
王庆明,32,15:25,是,1-4,0-0,0-0,0,2,0,4,0,0,0,1,2,1/1,2,青岛,2017-01-24
卢卡斯,1,30:05,否,4-9,2-4,4-4,1,8,2,3,1,2,3,1,4,1/1,18,青岛,2017-01-24
宗赞,13,20:20,否,2-3,1-2,1-2,0,2,0,2,0,0,1,0,2,0/0,8,青岛,2017-01-24
孙杰,17,27:14,否,1-1,1-4,0-0,1,0,1,0,0,1,0,0,0,0/0,5,青岛,2017-01-24
刁成灏,27,11:50,否,0-0,0-2,0-0,0,0,1,1,0,0,0,0,0,0/0,0,青岛,2017-01-24
孙鐿滔,8,00:00,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2017-01-24
哈德森,14,42:31,是,9-15,2-10,0-0,1,4,6,3,5,0,0,0,3,3/3,24,辽宁,2017-01-24
郭艾伦,13,26:54,是,8-12,1-2,4-4,0,2,3,5,1,1,0,0,4,2/2,23,辽宁,2017-01-24
刘志轩,11,29:26,是,2-2,1-2,2-2,0,1,1,1,0,1,0,0,1,0/0,9,辽宁,2017-01-24
廉明,21,13:59,是,1-2,0-1,2-2,2,1,0,2,0,0,0,0,2,0/0,4,辽宁,2017-01-24
卫猛,23,26:56,是,2-4,0-0,0-0,0,1,0,4,1,1,0,0,1,0/0,4,辽宁,2017-01-24
兰多夫,42,29:29,否,7-12,1-2,4-5,4,4,1,4,0,2,1,1,4,1/1,21,辽宁,2017-01-24
赵继伟,3,34:11,否,3-4,2-5,4-4,3,2,5,4,1,1,0,0,4,0/0,16,辽宁,2017-01-24
韩德君,55,25:36,否,5-10,0-0,2-2,2,6,0,2,1,2,0,0,1,0/0,12,辽宁,2017-01-24
杨鸣,12,10:58,否,0-1,0-0,0-0,0,0,1,0,0,0,0,0,0,0/0,0,辽宁,2017-01-24
高诗岩,1,00:00,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-01-24
